date, user_name, likes, comment 
2021.09.17, Linda琳, 390, 我的爷爷跟这位爷爷一样的病，现在庆幸我们全家没有那么自私的挽留爷爷。虽然那种失去亲人的痛是刻骨的，可是，我还是庆幸没有让我亲爱的爷爷没有遭这样的罪，您长眠，我长念，我爱您爷爷 
2021.09.17, 果然, 133, 怎么理解生命，对待生命，有尊严的活，是需要学习的。 
2021.09.17, 华华, 121, 谢谢您和我想法一样！icu让我父亲插管，我家都不同意，老公问我为什么，我说古代只有仇恨到极点才让人求生不得求死不能！我接我父亲回家了，被医生诊断一个月生命期的父亲现在挺过半年多了，无创呼吸机缓解病情 
2021.09.17, 枫海昕辰, 104, 这个视频真的很好很好。 
2021.09.17, 坚强的石头, 80, 如果有一天我这样了，希望家属家属让我安安静静的走， 
2021.09.17, 阿仔, 51, 我的母亲就是这个过程，我很认真的看视频，让我回忆起我的抉择，我的母亲就是这样给我抉择痛苦走的，妈妈，我对不起你，到现在看所有这些ICU的视频，我的痛苦流泪。救与不救至今同样无法抉择，都无法放过自己。 
2021.09.17, 夭夭, 64, 这是生不如死的痛苦儿女为了所谓的面子让老人受苦苦 
2021.09.17, 派大星、, 60, 很用心的视频，谢谢 
2021.09.17, 风铃, 53, 经历过所以理解医生更理解家属 
2021.09.17, 抓抓的女王, 32, 我认为还是要尊重个人意愿。提前和身边人说好交待好。这样家人心里也不会那么沉重。 
2021.09.17, 墨染年华ら, 35, 生与死，看到这些心里会隐隐作痛 
2021.09.17, 萍萍, 28, 感情上家属们是万般不舍，但是对于老人来说，一年零四个月，那是生不如死的折磨。我婆婆就是到最后插气管，医生说只是让她醒过来看看家人而已，最终还是要走的，但是我们选择了让她在昏迷中安静舒服的走。 
2021.09.17, 江江, 27, 哎，真的没有意义，所有人都痛苦 
2021.09.17, 暴躁君请歇歇, 23, 不知道说什么好，老人太痛苦了 
2021.09.20, 小盐小糖, 20, 每个人都是哭着来到这个世界，希望走的那一刻，可以笑着离开。琼瑶曾说：帮助我没有痛苦地离开，比千方百计让我痛苦地活着，意义更大。 
2022.02.08, 一路向北, 2, 是和六爷拍视频的老王吗 
2022.01.26, 俗人一族, 2, 这不是他 
2022.03.04, 美你屋美容馆, 0, 这不像老王 
2022.02.22, 66, 0, 想到了我的父亲，也是这样在ICU里面住了10多天后走了，心如刀绞 
2022.02.17, 容我爱你 深不见底 , 0, 其实这也是两难的选择，放弃治疗一个是不甘心，再一个就是会觉得自己不孝，不放弃治疗老人还遭罪，太难选择了，等我有那一天，我提前跟孩子说，不用考虑，直接放弃！ 
2022.02.16, 二, 0, 一路走好 
2022.02.09, 暖心（拒私聊）, 0, 好可惜 
2022.02.08, 陌生人, 0, 我默默的看完了，似乎想说什么但是又不知道说什么。我闭上眼睛叹了一口气。无奈的滑到下一个视频 
2022.02.07, @仙居饼佬工业路总店, 0, 我爸就是这样走的 
2022.01.27, 浅笑柔, 0, 如果有一天我病了决不受这样的醉 
2022.01.26, ！, 0, 我一个叔公也切气管已经维持一年了，确实生命只有一次但是活着我们都看得见 
2022.01.25, 不知道是谁的谁, 0, 感谢你记录了老王的最后一程 
2022.01.25, 岁月静好, 0, 看到这个视频，心如刀绞，我妈妈也是，一个人在Icu里苦苦的孤独的撑过了三十多天，终究去了天堂，看似孝顺的我们，其实对她是一种很残忍的折磨，哎！故事没看完，心真的一阵一阵的痛 
2022.01.25, 顺顺顺, 0, 老王一路走好 
2022.01.22, 回忆, 0, 唉，我婆婆那天也被医生插管走了 
2022.01.20, 郑, 0, 感动 
2022.01.19, aaaaa, 0, 有钱去帮有需要的人可以吗 
2022.01.19, 珍惜, 0, @ 
2022.01.17, 谢谢你的爱……, 0, 王叔叔你的视频非常好，每天看你视频都是开心， 得知你这个消息心里很难受！王叔一路走好 
